Study,PFAS,kup_nlls,kel_nlls,logBCF_nlls,kup_pinns,kel_pinns,logBCD_pinns
73,PFOA,1.78E+01,2.60E-01,1.84E+00,1.14E+01,1.60E-01,1.85E+00
73,PFOA,1.43E+01,1.50E-01,1.99E+00,1.28E+01,1.30E-01,2.00E+00
67,PFOA,3.67E+00,1.20E-01,1.49E+00,3.61E+00,1.20E-01,1.49E+00
72,PFOA,9.33E+00,2.60E-01,1.55E+00,8.66E+00,2.40E-01,1.56E+00
71,PFOA,7.41E+00,1.50E-01,1.68E+00,6.72E+00,1.30E-01,1.70E+00
70,PFOA,7.56E+00,1.50E-01,1.70E+00,6.49E+00,1.20E-01,1.73E+00
65,PFOA,2.00E-02,1.00E-01,-6.00E-01,3.00E-02,1.20E-01,-6.30E-01
73,PFOS,9.62E+01,2.00E-02,3.65E+00,9.51E+01,2.00E-02,3.61E+00
73,PFOS,1.86E+02,2.00E-02,4.03E+00,1.89E+02,2.00E-02,3.95E+00
68,PFOS,3.23E+01,7.00E-02,2.64E+00,3.13E+01,7.00E-02,2.65E+00
68,PFOS,2.37E+01,3.00E-02,2.95E+00,2.33E+01,3.00E-02,2.96E+00
68,PFOS,4.13E+01,5.00E-02,2.93E+00,3.89E+01,4.00E-02,2.94E+00
72,PFOS,4.13E+01,3.00E-02,3.18E+00,4.48E+01,3.00E-02,3.11E+00
71,PFOS,4.02E+01,2.00E-02,3.23E+00,4.07E+01,2.00E-02,3.22E+00
70,PFOS,3.76E+01,2.00E-02,3.22E+00,3.77E+01,2.00E-02,3.23E+00
73,PFBA,2.69E+00,1.50E-01,1.24E+00,2.63E+00,1.50E-01,1.24E+00
73,PFBA,6.30E-01,1.00E-02,1.79E+00,6.20E-01,1.00E-02,1.83E+00
69,PFBA,1.75E+00,1.61E+00,3.00E-02,1.56E+00,1.43E+00,4.00E-02
70,PFBA,6.10E-01,1.06E+00,-2.40E-01,5.80E-01,1.02E+00,-2.40E-01
73,PFBS,4.53E+00,1.90E-01,1.38E+00,4.61E+00,1.90E-01,1.38E+00
73,PFBS,3.93E+00,1.80E-01,1.34E+00,3.93E+00,1.80E-01,1.34E+00
68,PFBS,1.72E+00,5.80E-01,4.70E-01,7.50E-01,2.40E-01,5.00E-01
68,PFBS,3.00E-01,1.90E-01,2.00E-01,2.20E-01,1.40E-01,2.00E-01
68,PFBS,5.30E-01,2.50E-01,3.20E-01,3.60E-01,1.70E-01,3.20E-01
69,PFBS,1.59E+00,1.38E+00,6.00E-02,1.45E+00,1.26E+00,6.00E-02
72,PFBS,1.64E+00,5.20E-01,5.00E-01,1.54E+00,4.80E-01,5.00E-01
72,PFBS,1.81E+00,1.12E+00,2.10E-01,1.48E+00,9.00E-01,2.20E-01
71,PFBS,1.81E+00,1.10E+00,2.20E-01,1.55E+00,9.30E-01,2.20E-01
70,PFBS,1.80E+00,1.21E+00,1.70E-01,1.48E+00,1.00E+00,1.70E-01
73,PFDA,5.22E+02,1.00E-02,4.62E+00,4.87E+02,1.00E-02,4.58E+00
73,PFDA,3.45E+02,1.00E-02,4.41E+00,3.65E+02,2.00E-02,4.29E+00
69,PFDA,2.04E+01,1.70E-01,2.08E+00,2.08E+01,1.70E-01,2.08E+00
72,PFDA,3.98E+01,4.00E-02,3.05E+00,4.19E+01,4.00E-02,3.02E+00
71,PFDA,3.81E+01,3.00E-02,3.14E+00,4.13E+01,4.00E-02,3.07E+00
70,PFDA,4.19E+01,3.00E-02,3.17E+00,4.71E+01,4.00E-02,3.07E+00
73,PFDoA,3.87E+02,1.00E-02,4.67E+00,5.33E+02,4.00E-02,4.13E+00
73,PFDoA,1.01E+03,1.00E-02,4.92E+00,1.03E+03,2.00E-02,4.77E+00
69,PFDoA,9.99E+01,1.90E-01,2.72E+00,9.95E+01,1.90E-01,2.72E+00
72,PFDoA,1.79E+02,2.00E-02,3.94E+00,2.01E+02,3.00E-02,3.81E+00
71,PFDoA,1.79E+02,2.00E-02,4.02E+00,2.05E+02,3.00E-02,3.84E+00
70,PFDoA,1.62E+02,1.00E-02,4.04E+00,1.80E+02,2.00E-02,3.88E+00
73,PFDPA,1.41E+01,8.00E-02,2.27E+00,1.05E+01,5.00E-02,2.32E+00
73,PFDPA,1.08E+01,2.00E-02,2.69E+00,1.06E+01,3.00E-02,2.61E+00
69,PFHpA,5.03E+00,8.80E-01,7.60E-01,4.80E+00,8.40E-01,7.60E-01
72,PFHpA,4.87E+00,4.70E-01,1.01E+00,4.79E+00,4.70E-01,1.01E+00
72,PFHpA,4.96E+00,8.10E-01,7.90E-01,4.95E+00,8.10E-01,7.90E-01
71,PFHpA,5.38E+00,7.60E-01,8.50E-01,5.29E+00,7.50E-01,8.50E-01
70,PFHpA,5.87E+00,7.80E-01,8.80E-01,5.26E+00,7.00E-01,8.80E-01
73,PFHxA,1.16E+00,1.30E-01,9.40E-01,1.09E+00,1.20E-01,9.40E-01
73,PFHxA,1.41E+00,1.30E-01,1.02E+00,1.52E+00,1.50E-01,1.01E+00
69,PFHxA,2.39E+00,1.37E+00,2.40E-01,2.22E+00,1.27E+00,2.40E-01
72,PFHxA,2.33E+00,6.10E-01,5.80E-01,2.29E+00,6.00E-01,5.80E-01
72,PFHxA,2.65E+00,1.44E+00,2.60E-01,2.21E+00,1.20E+00,2.60E-01
71,PFHxA,2.59E+00,1.41E+00,2.60E-01,2.25E+00,1.23E+00,2.60E-01
70,PFHxA,2.95E+00,1.47E+00,3.00E-01,2.33E+00,1.17E+00,3.00E-01
73,PFHxPA,2.36E+00,3.00E-03,2.89E+00,2.31E+00,3.00E-03,2.78E+00
73,PFHxPA,8.80E-01,2.00E-03,2.58E+00,8.60E-01,2.00E-03,2.43E+00
73,PFHxS,1.57E+01,8.00E-02,2.31E+00,1.56E+01,8.00E-02,2.31E+00
73,PFHxS,2.10E+01,7.00E-02,2.49E+00,2.13E+01,7.00E-02,2.49E+00
68,PFHxS,8.21E+00,2.30E-01,1.56E+00,6.30E+00,1.70E-01,1.57E+00
68,PFHxS,1.30E+00,1.40E-01,9.80E-01,1.11E+00,1.20E-01,9.60E-01
68,PFHxS,4.94E+00,1.80E-01,1.44E+00,4.27E+00,1.50E-01,1.45E+00
73,PFNA,1.35E+02,7.00E-02,3.31E+00,1.31E+02,6.00E-02,3.31E+00
73,PFNA,8.46E+01,4.00E-02,3.31E+00,8.55E+01,4.00E-02,3.30E+00
69,PFNA,2.81E+01,3.30E-01,1.93E+00,2.78E+01,3.20E-01,1.93E+00
72,PFNA,1.93E+01,1.00E-01,2.31E+00,1.93E+01,9.00E-02,2.31E+00
71,PFNA,1.52E+01,5.00E-02,2.47E+00,1.47E+01,5.00E-02,2.50E+00
70,PFNA,1.89E+01,5.00E-02,2.54E+00,1.78E+01,5.00E-02,2.59E+00
73,PFOPA,3.69E+00,1.00E-02,2.82E+00,3.77E+00,2.00E-02,2.39E+00
73,PFOPA,6.49E+00,1.00E-05,6.81E+00,5.80E+00,4.00E-05,5.11E+00
69,PFPeA,1.74E+00,1.18E+00,1.70E-01,1.65E+00,1.13E+00,1.70E-01
71,PFPeA,1.36E+00,1.65E+00,-8.00E-02,1.07E+00,1.29E+00,-8.00E-02
70,PFPeA,1.45E+00,1.72E+00,-7.00E-02,1.04E+00,1.24E+00,-8.00E-02
72,PFPeA,9.10E-01,5.60E-01,2.10E-01,9.00E-01,5.60E-01,2.10E-01
72,PFPeA,1.33E+00,1.68E+00,-1.00E-01,1.09E+00,1.37E+00,-1.00E-01
73,PFTeDA,2.23E+03,2.00E-02,4.95E+00,2.21E+03,3.00E-02,4.93E+00
73,PFTeDA,1.35E+04,2.00E-03,6.89E+00,1.28E+04,3.00E-04,7.62E+00
73,PFTrDA,5.38E+02,1.00E-02,4.74E+00,5.25E+02,1.00E-02,4.56E+00
73,PFTrDA,2.48E+03,1.00E-02,5.47E+00,2.59E+03,2.00E-02,5.24E+00
69,PFUnA,4.70E+01,1.60E-01,2.48E+00,4.85E+01,1.60E-01,2.48E+00
72,PFUnA,6.47E+01,3.00E-02,3.28E+00,6.84E+01,4.00E-02,3.24E+00
71,PFUnA,6.29E+01,3.00E-02,3.38E+00,6.86E+01,3.00E-02,3.30E+00
70,PFUnA,6.19E+01,3.00E-02,3.35E+00,7.01E+01,4.00E-02,3.25E+00
73,PFUnA,3.38E+02,1.00E-02,4.37E+00,3.34E+02,2.00E-02,4.27E+00
73,PFUnA,5.70E+02,1.00E-02,4.69E+00,5.87E+02,2.00E-02,4.55E+00
68,F-53B,3.98E+01,8.00E-02,2.68E+00,4.05E+01,8.00E-02,2.69E+00
68,F-53B,3.13E+01,3.00E-02,3.02E+00,3.15E+01,3.00E-02,3.02E+00
68,F-53B,4.82E+01,4.00E-02,3.06E+00,4.74E+01,4.00E-02,3.07E+00
66,F-53B,1.20E-01,5.00E-02,4.00E-01,1.20E-01,4.00E-02,4.30E-01
66,F-53B,9.00E-02,2.00E-02,5.70E-01,9.00E-02,2.00E-02,5.90E-01
66,F-53B,1.30E-01,7.00E-02,3.00E-01,1.30E-01,6.00E-02,3.20E-01
66,F-53B,1.00E-01,6.00E-02,2.50E-01,1.00E-01,6.00E-02,2.50E-01
68,OBS,5.72E+01,4.30E-01,2.12E+00,4.35E+01,3.20E-01,2.13E+00
68,OBS,2.94E+01,1.20E-01,2.40E+00,2.26E+01,8.00E-02,2.44E+00
68,OBS,1.01E+02,1.70E-01,2.76E+00,7.14E+01,1.20E-01,2.78E+00